Memory Usage: 160.703 MB, CPU Usage: 160.00 %, Power Usage: 53.21421900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 76.00 %, Power Usage: 95.65618700000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.71984800000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 83.00 %, Power Usage: 94.64783000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.11 %, Power Usage: 95.39862000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 87.00 %, Power Usage: 95.40765400000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.65527200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.79107600000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 91.00 %, Power Usage: 96.02911200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 96.07800100000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 91.00 %, Power Usage: 96.09265000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 91.00 %, Power Usage: 95.15808100000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 92.00 %, Power Usage: 95.25012300000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.69274800000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 88.00 %, Power Usage: 95.68310500000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 102.00 %, Power Usage: 102.54880900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 203.00 %, Power Usage: 111.70265600000000000000 W
Memory Usage: 167.066 MB, CPU Usage: 235.00 %, Power Usage: 119.03057900000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 236.00 %, Power Usage: 120.12151900000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 237.00 %, Power Usage: 119.40856900000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 233.00 %, Power Usage: 120.11401100000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 226.00 %, Power Usage: 118.92022800000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 238.00 %, Power Usage: 117.17639700000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 235.00 %, Power Usage: 117.13165800000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 234.00 %, Power Usage: 114.76472000000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 221.00 %, Power Usage: 114.09107800000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 241.00 %, Power Usage: 112.54072800000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 244.00 %, Power Usage: 112.62025600000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 211.00 %, Power Usage: 108.24374100000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 129.00 %, Power Usage: 108.89437400000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 130.00 %, Power Usage: 111.88423600000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 243.00 %, Power Usage: 109.38277600000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 131.00 %, Power Usage: 104.21726300000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 121.00 %, Power Usage: 111.80928400000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 240.00 %, Power Usage: 110.30995900000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 105.00 %, Power Usage: 101.29631000000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 150.00 %, Power Usage: 112.78114500000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 184.00 %, Power Usage: 98.26476300000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 232.00 %, Power Usage: 119.75073100000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 189.00 %, Power Usage: 105.13211600000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 103.00 %, Power Usage: 97.30724600000000000000 W
Memory Usage: 168.004 MB, CPU Usage: 166.00 %, Power Usage: 102.97892300000000000000 W
Memory Usage: 167.883 MB, CPU Usage: 232.00 %, Power Usage: 119.60211100000000000000 W
Memory Usage: 167.883 MB, CPU Usage: 123.00 %, Power Usage: 104.11832500000000000000 W
Memory Usage: 167.883 MB, CPU Usage: 100.00 %, Power Usage: 101.96794000000000000000 W
Memory Usage: 167.883 MB, CPU Usage: 115.00 %, Power Usage: 97.54009500000000000000 W
Memory Usage: 171.633 MB, CPU Usage: 199.00 %, Power Usage: 110.23513000000000000000 W
Memory Usage: 167.621 MB, CPU Usage: 220.00 %, Power Usage: 118.15552000000000000000 W
Memory Usage: 167.621 MB, CPU Usage: 128.00 %, Power Usage: 99.51909400000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 100.00 %, Power Usage: 101.21006700000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 98.02 %, Power Usage: 97.01299700000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 186.00 %, Power Usage: 110.00930100000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 238.00 %, Power Usage: 119.86071600000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 103.00 %, Power Usage: 98.77910500000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 102.00 %, Power Usage: 103.07316100000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 99.00 %, Power Usage: 97.13494500000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 170.00 %, Power Usage: 102.57621400000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 235.00 %, Power Usage: 116.89081500000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 102.00 %, Power Usage: 109.46480600000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 158.00 %, Power Usage: 100.58561900000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 104.00 %, Power Usage: 99.27172000000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 103.00 %, Power Usage: 97.25371700000000000000 W
Memory Usage: 169.496 MB, CPU Usage: 168.00 %, Power Usage: 103.61643400000000000000 W
Memory Usage: 169.496 MB, CPU Usage: 233.66 %, Power Usage: 118.36017100000000000000 W
Memory Usage: 169.496 MB, CPU Usage: 111.00 %, Power Usage: 110.59755600000000000000 W
Memory Usage: 169.496 MB, CPU Usage: 101.00 %, Power Usage: 97.00207200000000000000 W
Memory Usage: 169.496 MB, CPU Usage: 227.00 %, Power Usage: 109.82350900000000000000 W
Memory Usage: 169.496 MB, CPU Usage: 158.00 %, Power Usage: 114.88526500000000000000 W
Memory Usage: 169.496 MB, CPU Usage: 102.00 %, Power Usage: 97.37145500000000000000 W
Memory Usage: 169.496 MB, CPU Usage: 198.00 %, Power Usage: 106.84506400000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 150.00 %, Power Usage: 112.50990500000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 93.00 %, Power Usage: 96.57488700000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 92.00 %, Power Usage: 96.70995800000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 147.00 %, Power Usage: 99.36681000000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 198.00 %, Power Usage: 116.09949500000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 92.00 %, Power Usage: 99.46813000000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 89.00 %, Power Usage: 97.46355700000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 83.00 %, Power Usage: 95.33197000000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 91.00 %, Power Usage: 95.86163200000000000000 W
Memory Usage: 177.309 MB, CPU Usage: 202.00 %, Power Usage: 114.87568200000000000000 W
Memory Usage: 168.742 MB, CPU Usage: 115.00 %, Power Usage: 108.98318100000000000000 W
Memory Usage: 168.742 MB, CPU Usage: 94.00 %, Power Usage: 97.13646900000000000000 W
Memory Usage: 168.742 MB, CPU Usage: 95.00 %, Power Usage: 91.86493900000000000000 W
Memory Usage: 168.742 MB, CPU Usage: 83.00 %, Power Usage: 94.43194800000000000000 W
Memory Usage: 168.742 MB, CPU Usage: 218.00 %, Power Usage: 106.99374500000000000000 W
Memory Usage: 169.766 MB, CPU Usage: 225.00 %, Power Usage: 119.99725200000000000000 W
Memory Usage: 169.766 MB, CPU Usage: 102.00 %, Power Usage: 98.95946300000000000000 W
Memory Usage: 169.766 MB, CPU Usage: 102.00 %, Power Usage: 97.15697800000000000000 W
Memory Usage: 169.766 MB, CPU Usage: 236.00 %, Power Usage: 115.27405800000000000000 W
Memory Usage: 169.766 MB, CPU Usage: 147.00 %, Power Usage: 113.32228000000000000000 W
Memory Usage: 169.766 MB, CPU Usage: 103.00 %, Power Usage: 97.17534900000000000000 W
Memory Usage: 169.766 MB, CPU Usage: 105.00 %, Power Usage: 97.26427800000000000000 W
Memory Usage: 169.383 MB, CPU Usage: 233.00 %, Power Usage: 117.03320800000000000000 W
Memory Usage: 169.383 MB, CPU Usage: 129.00 %, Power Usage: 111.16255800000000000000 W
Memory Usage: 169.383 MB, CPU Usage: 104.00 %, Power Usage: 97.23498000000000000000 W
Memory Usage: 169.383 MB, CPU Usage: 102.00 %, Power Usage: 97.13323600000000000000 W
Memory Usage: 177.508 MB, CPU Usage: 212.00 %, Power Usage: 114.45930100000000000000 W
Memory Usage: 168.941 MB, CPU Usage: 163.00 %, Power Usage: 105.11630800000000000000 W
Memory Usage: 168.941 MB, CPU Usage: 99.00 %, Power Usage: 96.96007900000000000000 W
Memory Usage: 168.941 MB, CPU Usage: 98.00 %, Power Usage: 96.19116000000000000000 W
Memory Usage: 168.941 MB, CPU Usage: 84.16 %, Power Usage: 96.35613800000000000000 W
Memory Usage: 168.941 MB, CPU Usage: 211.00 %, Power Usage: 106.79831100000000000000 W
Memory Usage: 169.062 MB, CPU Usage: 202.00 %, Power Usage: 115.89789600000000000000 W
Memory Usage: 169.062 MB, CPU Usage: 91.09 %, Power Usage: 98.14342600000000000000 W
Memory Usage: 169.062 MB, CPU Usage: 92.00 %, Power Usage: 96.45654000000000000000 W
Memory Usage: 169.062 MB, CPU Usage: 93.00 %, Power Usage: 95.28387500000000000000 W
Memory Usage: 169.375 MB, CPU Usage: 94.00 %, Power Usage: 95.13043300000000000000 W
Memory Usage: 169.375 MB, CPU Usage: 142.00 %, Power Usage: 99.99162500000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 202.00 %, Power Usage: 114.78828100000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 108.00 %, Power Usage: 108.09231400000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 91.00 %, Power Usage: 96.71026200000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 78.00 %, Power Usage: 96.06884600000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 91.00 %, Power Usage: 96.62750000000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 92.00 %, Power Usage: 96.67504500000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 91.00 %, Power Usage: 96.11846700000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 193.00 %, Power Usage: 110.69863100000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 191.00 %, Power Usage: 114.71979800000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 87.00 %, Power Usage: 97.11504700000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 82.00 %, Power Usage: 89.26173500000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 87.00 %, Power Usage: 96.40539200000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 89.00 %, Power Usage: 96.78185700000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 87.00 %, Power Usage: 95.86993300000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 88.12 %, Power Usage: 96.52837800000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 186.00 %, Power Usage: 110.97615700000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 75.00 %, Power Usage: 103.58414600000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 75.00 %, Power Usage: 94.24304500000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 74.00 %, Power Usage: 93.86761900000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 75.00 %, Power Usage: 94.12530800000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 69.00 %, Power Usage: 93.46240800000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 67.00 %, Power Usage: 93.95343300000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 69.00 %, Power Usage: 95.11639400000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 79.00 %, Power Usage: 94.32251300000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 69.00 %, Power Usage: 94.92114400000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 71.29 %, Power Usage: 91.70990900000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 63.00 %, Power Usage: 94.73681800000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 65.00 %, Power Usage: 91.82746300000000000000 W
Memory Usage: 169.184 MB, CPU Usage: 65.00 %, Power Usage: 93.52570000000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 71.00 %, Power Usage: 94.16601900000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 71.00 %, Power Usage: 92.36139700000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 68.32 %, Power Usage: 92.37171100000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 66.00 %, Power Usage: 88.86470300000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 64.00 %, Power Usage: 92.87079400000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 65.00 %, Power Usage: 94.38708700000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 80.00 %, Power Usage: 93.78888400000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 69.00 %, Power Usage: 92.61780500000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 70.00 %, Power Usage: 92.63031700000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 66.00 %, Power Usage: 89.04933300000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 92.00 %, Power Usage: 98.65019900000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 82.00 %, Power Usage: 97.24950700000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 78.00 %, Power Usage: 90.51289100000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 82.00 %, Power Usage: 95.66015500000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 80.00 %, Power Usage: 93.87274600000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 83.00 %, Power Usage: 95.51818700000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 81.00 %, Power Usage: 94.14166600000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 83.00 %, Power Usage: 95.91308500000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 93.00 %, Power Usage: 92.47589900000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 174.00 %, Power Usage: 101.29173200000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 204.00 %, Power Usage: 114.79084400000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 119.00 %, Power Usage: 108.36874100000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 96.00 %, Power Usage: 96.22259300000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 93.00 %, Power Usage: 96.27081100000000000000 W
Memory Usage: 169.809 MB, CPU Usage: 89.00 %, Power Usage: 94.88195900000000000000 W
Memory Usage: 177.621 MB, CPU Usage: 209.00 %, Power Usage: 113.35957400000000000000 W
Memory Usage: 169.93 MB, CPU Usage: 119.00 %, Power Usage: 108.44064000000000000000 W
Memory Usage: 169.93 MB, CPU Usage: 95.00 %, Power Usage: 96.57836500000000000000 W
Memory Usage: 169.93 MB, CPU Usage: 92.00 %, Power Usage: 96.32897800000000000000 W
Memory Usage: 169.93 MB, CPU Usage: 90.00 %, Power Usage: 96.20904300000000000000 W
Memory Usage: 178.367 MB, CPU Usage: 212.00 %, Power Usage: 110.03633900000000000000 W
Memory Usage: 170.371 MB, CPU Usage: 137.00 %, Power Usage: 109.40487100000000000000 W
Memory Usage: 170.371 MB, CPU Usage: 96.00 %, Power Usage: 96.86108100000000000000 W
Memory Usage: 170.371 MB, CPU Usage: 91.00 %, Power Usage: 96.50616200000000000000 W
Memory Usage: 170.684 MB, CPU Usage: 96.00 %, Power Usage: 96.94225700000000000000 W
Memory Usage: 170.684 MB, CPU Usage: 205.00 %, Power Usage: 108.18545200000000000000 W
Memory Usage: 170.684 MB, CPU Usage: 205.00 %, Power Usage: 115.27735400000000000000 W
Memory Usage: 170.684 MB, CPU Usage: 95.00 %, Power Usage: 98.26238300000000000000 W
Memory Usage: 170.684 MB, CPU Usage: 95.00 %, Power Usage: 96.96313100000000000000 W
Memory Usage: 170.684 MB, CPU Usage: 96.00 %, Power Usage: 96.59490600000000000000 W
Memory Usage: 170.684 MB, CPU Usage: 133.00 %, Power Usage: 98.33751700000000000000 W
Memory Usage: 170.684 MB, CPU Usage: %wait %, Power Usage: 91.98523800000000000000 W
